country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
Mozambique,7.0525742753,-4.6607981091,2.9732874332,-0.237480225,1.7499160727,-0.3103345191,-1.1959566284,1.3633099162,-1.6182557953,0.6780621054,0.3438714417,-1.9828565271,0.6904768312,0.4748856315,0.2407206747,0.1502291422,1.1826895257,1.9738483766,-1.4095592006,1.727201632,0.996226337,-0.2944236358,0.5219767491,0.6381463753,-0.2023273045,-0.0602551914,0.9239960875,0.7580874175,2.3509787136,0.6850369377
Myanmar,4.9216938816,1.5897720658,-2.0801883874,2.912132891,5.2620543657,2.2990943284,-0.0803893891,0.0357359591,-2.9789582962,-2.0766790147,2.7600827562,2.7658617949,-0.3309029031,-1.0655193321,1.6698431985,-0.5848061554,-1.661330739,-0.2761251,0.8995162526,-0.4355476603,1.0455629362,-0.6882850063,0.1711290835,-1.1717828923,-1.0012348202,0.2891480468,1.281912666,-0.5779176564,-1.5015974253,-0.2801082978
Namibia,1.1905183642,-1.8144798651,0.9368935492,1.4789611417,2.5777955833,-1.1671261414,-0.12303279,-0.2942851408,0.794502844,-0.4459772898,-1.0446482067,-0.6211116217,-0.3958496445,0.8246687468,1.7793010932,1.0744468662,-0.0812056812,-0.8566862451,-0.0347105324,-0.7272222775,-0.0322744366,0.8444903038,-0.4360003454,0.0736899583,0.6111033095,-0.1666898087,-1.2780680636,-0.0100030759,-0.1515474315,0.7056111648
Nepal,4.3895010621,-0.8825513731,-0.443915995,1.7338872609,2.740688444,-0.2203908244,-0.6639606323,-1.7999973757,-0.0620056638,-0.2881367168,1.3252302185,0.2477275006,-0.3136959318,0.2537378592,-0.6439124997,-0.300022595,-0.2278937412,-0.8094680558,0.8395553882,-0.7455790391,-0.4302144073,0.0305722283,-0.0307364119,-0.3535328241,-0.6746017923,0.9371275401,0.9648579302,-0.8694305368,0.4691349998,0.2284297861
Nicaragua,5.2957197163,2.5607138626,-2.4903223432,0.2548561082,0.1333997718,-1.4250956781,-2.5683636462,-0.2986856168,-0.2290199503,-0.3269489364,-0.9930968247,-0.5675675096,1.1522814999,-1.3771470556,-0.5408835119,0.3878568398,1.5776989779,-0.0203324839,0.7467256184,-0.5711502466,-0.0677257092,-1.5254908721,-0.791374718,0.6628300359,0.1200793517,-0.1024842706,2.2046765812,-1.0362236753,0.4204697536,0.7180651038
Niger,8.5609569318,-0.7253068034,5.0780331276,-1.6283297425,-1.9956651407,4.8055939902,-0.3552613119,-0.4236482846,2.4741506513,-0.5268235764,0.2249722909,2.2997369257,1.0066234783,2.7870500626,-1.3726974128,-0.6482788071,0.2147727611,0.9898781549,2.3362702112,0.7073519366,-0.1705241266,0.6875117692,-2.4517161232,0.0190973177,0.5939429875,0.5069169908,-0.8806091058,-0.837490248,-0.1305476966,0.1745774048
Nigeria,4.5809518584,-3.2315936701,-0.3793447658,0.6563436947,-0.9760881197,0.6354337401,0.6652966628,1.2105715473,-1.2501237705,1.4445045991,1.0773559954,-1.6659904192,0.6137048619,-0.0312808149,-0.8730949826,0.8524011947,-0.5337158203,0.0819826906,-0.672834466,1.0776548693,0.1836993275,0.3358215045,-2.1266125957,-0.2889676587,0.8224240662,0.5390396409,0.1797242263,-0.4234835815,0.3943220256,-0.4690174533
Pakistan,6.8679721254,1.9432604754,-3.0134705206,-0.1538976108,-1.056570099,2.1221588806,-0.8201042243,1.2899120248,1.7889471205,0.1385958396,1.8866017235,-0.8111959934,0.8601594966,0.6000861664,-0.7315250259,-1.562443078,-0.3817202739,-0.0312163164,-1.2458973406,-0.5078484866,-0.3411885625,-0.1498031679,0.7060161335,-0.3593245664,-1.2177886859,-0.6461697261,-0.7390909912,-0.7852309953,0.8886357519,0.04874273
Paraguay,-0.5189316275,-4.4994429924,-2.8688759519,-0.3021260871,1.0558704782,-1.6820036811,0.9430629645,0.205533194,0.4838503496,0.3015796881,-1.2940356338,0.0025142191,0.3210448983,-1.5313248417,-0.0018428033,-1.2241386701,-0.9674010048,-1.1665651768,1.1680437343,0.1680199883,0.7671218542,-1.1755108908,0.463635979,0.5198020794,0.3042215549,1.2199139896,0.6031367221,-0.4831941009,-0.4790997389,-0.8710483744
Peru,0.2034196964,-2.2949657173,-1.9445594141,-0.5233479639,-2.4007947066,-1.3874560301,-1.0861731602,0.4574667088,0.6011192049,-1.7551095646,-0.5262565507,0.6433537496,0.6362591376,-1.0567935618,-0.2873456349,-1.2414746858,1.2041310885,1.272984057,-0.7516196184,-0.8471562582,-0.8567043357,0.3144768952,0.8899638713,-0.5621024343,-0.1464796954,-0.6821100395,-0.2434462123,0.0876676863,1.0159943082,0.0789828734
Philippines,1.7478987999,-1.2644317691,-0.7825705935,-0.269145344,-2.3979437043,-3.5006585593,1.1838410625,1.8852999421,-2.6231667286,-3.2763377416,-0.4721382963,3.0160424188,-1.0156060626,-0.0783331271,-1.4597230349,0.8639095787,-1.5961073107,1.8088429948,1.5886872168,-0.3899037712,0.7029368786,-0.3490181459,-1.5609217642,1.0267614906,-0.8373536182,1.1217339606,-0.1054716976,-0.8635264834,0.2308002058,0.7671082813
Rwanda,3.3498098336,3.0115871594,-0.762785593,1.1488427165,1.4708110964,-0.2558069013,-0.7172422287,4.7381406376,-0.8460097744,1.5226162017,-0.9880904143,0.6994695237,1.2239823225,-0.2644854285,0.0864601666,0.9445789856,-1.0448406285,-1.2279051617,0.11858138,1.086004369,0.5441050142,-0.0900997104,-2.2832494181,-0.4084166658,1.1877108594,1.6317648083,-0.5521833636,0.5751266407,0.9744959243,-0.9618732625
Senegal,3.8582819562,-1.7683706996,-0.6703542884,0.7942419066,0.2135180719,0.3077396548,-0.2324178776,1.3434047794,1.8151463884,-0.7899591762,0.0586946427,0.8113977065,-0.0147329076,-0.6268159332,-0.4112448812,1.1875166749,0.5678516228,-0.3746177924,-0.1198666614,0.3613927311,-0.1418744099,0.106441732,-0.624577799,-0.5840673074,0.3269070499,0.1428478231,-1.7379179996,0.338189165,0.0763522831,-0.4304076111
