country,internet_m,internet_f,acct,acct_ed,acct_f,acct_labor,acct_m,acct_nolabor,acct_old,acct_poor,acct_rich,acct_rural,acct_uned,acct_young,barrier_fam,barrier_nodocs,barrier_nofunds,barrier_noneed,barrier_relig,barrier_tooexpens,barrier_toofar,barrier_trust,borrow,borrow_ed,borrow_f,borrow_labor,borrow_m,borrow_nolabor,borrow_old,borrow_poor,borrow_rich,borrow_rural,borrow_uned,borrow_young,dig_pay,dig_pay_ed,dig_pay_f,dig_pay_labor,dig_pay_m,dig_pay_nolabor,dig_pay_old,dig_pay_poor,dig_pay_rich,dig_pay_rural,dig_pay_uned,dig_pay_young,mm,mm_ed,mm_f,mm_labor,mm_m,mm_nolabor,mm_old,mm_poor,mm_rich,mm_rural,mm_uned,mm_young,urban,acct_urban,borrow_urban,dig_pay_urban,mm_urban
United States,NA,NA,0.9312218427658081,0.9437926411628723,0.9268624782562256,0.9277532696723938,0.9357033967971802,0.9398437142372131,0.942130446434021,0.8521856665611267,0.9836721420288086,0.9259964227676392,0.645688533782959,0.8694441914558411,NA,NA,NA,NA,NA,NA,NA,NA,0.683592677116394,0.7003164291381836,0.6693898439407349,0.6913742423057556,0.6981935501098633,0.6642501354217529,0.7204638719558716,0.49038100242614746,0.8118125796318054,0.6940367817878723,0.29691755771636963,0.47478413581848145,0.9110616445541382,0.9227033257484436,0.9084594249725342,0.9095823764801025,0.9137368202209473,0.914738655090332,0.9223291873931885,0.8097510933876038,0.978293776512146,0.9004842042922974,0.645688533782959,0.8472512364387512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8225600000000001,0.9323490535765393,0.6813397084175671,0.9133433759780598,NA
Uruguay,0.649,0.642,0.6386800408363342,0.694511890411377,0.6062883734703064,0.6896775960922241,0.6760584712028503,0.550758957862854,0.6867431998252869,0.48614728450775146,0.7403297424316406,0.5697953104972839,0.5146631002426147,0.44116923213005066,0.17517785727977753,0.19030019640922546,0.6616138815879822,0.04342019185423851,0.008558522909879684,0.2862224876880646,0.040869779884815216,0.19001507759094238,0.4344201385974884,0.48477214574813843,0.44859084486961365,0.4617919921875,0.4180678427219391,0.38723039627075195,0.5058435201644897,0.2858125567436218,0.5334540009498596,0.326491117477417,0.32257533073425293,0.1445646435022354,0.5933818221092224,0.6528579592704773,0.5643025636672974,0.6557958126068115,0.6269378066062927,0.48577848076820374,0.6354925036430359,0.43016400933265686,0.7021521329879761,0.5300776958465576,0.46126988530158997,0.4198165833950043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9533400000000001,0.642051515354995,0.4397025857049868,0.5964801611398054,NA
Vietnam,NA,NA,0.30023542046546936,0.4132096767425537,0.29454556107521057,0.3432982861995697,0.3064277768135071,0.18442745506763458,0.29748937487602234,0.20277522504329681,0.3652070164680481,0.24649250507354736,0.12775887548923492,0.31203773617744446,0.22570423781871796,0.14616233110427856,0.4521770477294922,0.1420256644487381,0.005874826572835445,0.1169607862830162,0.12099742889404297,0.07662525027990341,0.21715696156024933,0.19242599606513977,0.1922927051782608,0.25672784447669983,0.24421700835227966,0.11073984950780869,0.23264780640602112,0.2335120439529419,0.20625390112400055,0.24613110721111298,0.26148176193237305,0.1605301946401596,0.22735726833343506,0.31860169768333435,0.22988533973693848,0.2619613707065582,0.22460593283176422,0.1342972069978714,0.2135051041841507,0.12579035758972168,0.29506656527519226,0.189716175198555,0.08855942636728287,0.28018924593925476,0.03499500826001167,0.05047560855746269,0.03631995618343353,0.03905037045478821,0.03355305269360542,0.02408900484442711,0.024004852399230003,0.009778845123946667,0.0518052913248539,0.02296600677073002,0.011600819416344166,0.07615412771701813,0.35918999999999995,0.3961150318474609,0.16546587251397868,0.2945105545935272,0.05645525059511726
Zambia,0.155,0.132,0.3583003580570221,0.4861447811126709,0.2856917679309845,0.4108019173145294,0.43394216895103455,0.2605104446411133,0.3947732448577881,0.22378559410572052,0.44791775941848755,0.31250685453414917,0.22416579723358154,0.29516273736953735,0.16388154029846191,0.348890095949173,0.6162723898887634,0.011020242236554623,0.09701468795537949,0.26747938990592957,0.257053941488266,0.1092991828918457,0.10410156846046448,0.14822441339492798,0.06444524973630905,0.12097173929214478,0.1454145312309265,0.07267903536558151,0.10752542316913605,0.04678848385810852,0.14228510856628418,0.10209812223911285,0.057754036039114,0.09711071848869324,0.38737693428993225,0.5444387197494507,0.34839025139808655,0.4495878517627716,0.4279923141002655,0.2715023458003998,0.4003080725669861,0.26527032256126404,0.4687277376651764,0.34308773279190063,0.22244234383106232,0.36366894841194153,0.27842390537261963,0.4051559865474701,0.2582308053970337,0.32369929552078247,0.29946058988571167,0.19409355521202087,0.27059122920036316,0.18514013290405273,0.3405721187591553,0.25511541962623596,0.14524543285369873,0.2890302836894989,0.43521000000000004,0.41772847977914107,0.10670152340487565,0.44485286111623057,0.3086722904389096
Zimbabwe,0.183,0.146,0.2817998230457306,0.35305947065353394,0.2334001660346985,0.3063398003578186,0.33450639247894287,0.2272113859653473,0.32525649666786194,0.13177455961704254,0.38159501552581787,0.20745739340782166,0.15894199907779694,0.19852717220783234,0.13025642931461334,0.49029627442359924,0.7948342561721802,0.014528208412230015,0.04942045733332634,0.249701127409935,0.13948681950569153,0.1939244270324707,0.047240037471055984,0.06395630538463593,0.03625238314270973,0.05086411163210869,0.059205446392297745,0.03917839005589485,0.054091040045022964,0.012089810334146023,0.070621587336063385,0.029069794341921806,0.01829283870756626,0.034139424562454224,0.5250385403633118,0.6252140402793884,0.48636776208877563,0.5626723170280457,0.5671504735946655,0.4413233697414398,0.5596334338188171,0.4178858697414398,0.596315324306488,0.45059147477149963,0.34987935423851013,0.4580843448638916,0.4858163297176361,0.58104705810546875,0.46201860904693604,0.5236294865608215,0.511731743812561,0.40170198678970337,0.5145449638366699,0.4023011326789856,0.5413697361946106,0.4268935024738312,0.31905004382133484,0.4300917088985443,0.32209000000000004,0.4382699912466521,0.08548335306505564,0.6817289381879735,0.6098325171709807
Afghanistan,NA,NA,0.14547084271907806,0.30246493220329285,0.06638309359550476,0.2436826080083847,0.22364376485347748,0.04046158492565155,0.17459924519062042,0.13802503049373627,0.15042635798454285,0.14899291098117828,0.08528534322977066,0.09752586483955383,0.1634562462568283,0.24187515676021576,0.8400823473930359,0.018538618460297585,0.1636996865272522,0.2470601350069046,0.34834757447242737,0.23529106378555298,0.03811303526163101,0.04476464167237282,0.03212594613432884,0.05118102952837944,0.044030871242284775,0.024140575900673866,0.05296376347541809,0.045361604541540146,0.03328878805041313,0.03775913268327713,0.035563066601753235,0.013668930158019066,0.10826800763607025,0.2403298169374466,0.040808845311403275,0.1866544932126999,0.1749468445777893,0.024456197395920753,0.12726043164730072,0.10573381185531616,0.10995462536811829,0.11146459728479385,0.05764058232307434,0.07700672745704651,0.009138161316514015,0.022649843245744705,0.00879772286862135,0.01717255637049675,0.009474661201238632,5.476859514601529e-4,0.014689943753182888,0.003606787184253335,0.012819541618227959,0.008522351272404194,0.003958301618695259,0,0.25495,0.1351781698080062,0.03914725811318057,0.09892649315173405,0.010937766232630987
Albania,NA,NA,0.39317503571510315,0.5468265414237976,0.37426111102104187,0.5248822569847107,0.4132375419139862,0.26137179136276245,0.42293331027030945,0.22751028835773468,0.5034424066543579,0.29971492290496826,0.27154529094696045,0.2917465269565582,0.22250382602214813,0.20825378596782684,0.7654399871826172,0.020406896248459816,0.06311831623315811,0.4029128849506378,0.2632084786891937,0.1641322672367096,0.12524476647377014,0.1782665252685547,0.10959216952323914,0.17393283545970917,0.1418478935956955,0.07652121782302856,0.12727299332618713,0.06559111177921295,0.16495057940483093,0.10394928604364395,0.0832730233669281,0.11833174526691437,0.2882237136363983,0.4118680953979492,0.2775413393974304,0.40957000851631165,0.2995547950267792,0.1667889654636383,0.3086428642272949,0.131116583943367,0.3927950859069824,0.2149130254983902,0.19034747779369354,0.21862678229808807,0.023777620866894722,0.043664392083883286,0.023769093677401543,0.03067159652709961,0.023786665871739388,0.01687861792743206,0.013204391114413738,0.004945659078657627,0.036312274634838104,0.018531709909439087,0.008035353384912014,0.059815578162670135,0.60319,0.45465799691172376,0.13925404976672656,0.3364513270915998,0.027228656074752892
Bangladesh,NA,NA,0.40972647070884705,0.47762131690979004,0.3191301226615906,0.5110600590705872,0.5024182200431824,0.31846731901168823,0.45414724946022034,0.33235248923301697,0.4612126350402832,0.4042815864086151,0.31325575709342957,0.2941417694091797,0.18360351026058197,0.13697834312915802,0.6161996722221375,0.05303829908370972,0.05082082003355026,0.16210336983203888,0.1377653181552887,0.11016874015331268,0.0920577123761177,0.07090237736701965,0.07901931554079056,0.11501798033714294,0.10539767891168594,0.071380116045475,0.11049308627843857,0.10230658203363419,0.08523792028427124,0.09471653401851654,0.12211701273918152,0.04408809542655945,0.3411082625389099,0.41158369183540344,0.21208098530769348,0.4571661055088043,0.4731197655200958,0.23658870160579681,0.34483811259269714,0.2631002962589264,0.3930162191390991,0.347186416387558,0.24097077548503876,0.3314030170440674,0.21245959401130676,0.26056230068206787,0.10273787379264832,0.3076450824737549,0.32471904158592224,0.1267372965812683,0.19168953597545624,0.14571692049503326,0.25687143206596375,0.2200716882944107,0.14411115646362305,0.2665041387081146,0.36632,0.4191453238519213,0.0874583399739685,0.3305939457371756,0.19929178470436937
Benin,NA,NA,0.31884515285491943,0.4567556381225586,0.2291065752506256,0.35850873589515686,0.41067376732826233,0.21188893914222717,0.3388569951057434,0.26792410016059875,0.35272258520126343,0.2930763363838196,0.2583473324775696,0.2870870530605316,0.11021177470684052,0.426429808139801,0.7149180173873901,0.005932693835347891,0.09782365709543228,0.3208306133747101,0.3353319764137268,0.18368075788021088,0.11360269784927368,0.0878494530916214,0.09797683358192444,0.13953228294849396,0.12959247827529907,0.04368135333061218,0.13097095489501953,0.13586029410362244,0.0987948551774025,0.12027225643396378,0.11735101789236069,0.0836820974946022,0.2847525179386139,0.4418845772743225,0.18886086344718933,0.33649909496307373,0.38287752866744995,0.14521344006061554,0.3006201386451721,0.2397107183933258,0.3147185146808624,0.26118043065071106,0.21495547890663147,0.2585732936859131,0.18093837797641754,0.3420514166355133,0.11726841330528259,0.21313460171222687,0.24609123170375824,0.09411849826574326,0.17794065177440643,0.13506491482257843,0.21145768463611603,0.16166454553604126,0.11397690325975418,0.1911882609128952,0.47312,0.3475420458678825,0.10617528614166988,0.3110030703359977,0.20240227051147305
Burkina Faso,NA,NA,0.23340527713298798,0.34216442704200745,0.20182205736637115,0.2769829332828522,0.26301899552345276,0.14643315970897675,0.28354623913764954,0.1098751351237297,0.3156704306602478,0.20524853467941284,0.20083078742027283,0.14091290533542633,0.07585587352514267,0.1759280264377594,0.712080180644989,0.009899003431200981,0.014803561381995678,0.22961394488811493,0.254639595746994,0.12487515807151794,0.0999784767627716,0.14699676632881165,0.09678073227405548,0.10850773006677628,0.10297681391239166,0.08295582234859467,0.1306968480348587,0.049978483468294144,0.1332760751247406,0.0943545550107956,0.0866294801235199,0.049840349704027176,0.3891531527042389,0.5893805027008057,0.3006323575973511,0.44217967987060547,0.47215384244918823,0.2833229899406433,0.40688610076904297,0.23747359216213226,0.49016445875167847,0.3639989495277405,0.3391518294811249,0.36189091205596924,0.33022797107696533,0.516277015209198,0.23653271794319153,0.3799678385257721,0.41808047890663147,0.23095738887786865,0.34132808446884155,0.2111714631319046,0.409513920545578,0.3084760904312134,0.2843187153339386,0.32610735297203064,0.29358,0.30115677929272133,0.11351090677854547,0.44967986504139407,0.3825679244994467
Canada,NA,NA,0.997268795967102,0.9986518621444702,0.998528003692627,0.9981051087379456,0.9959230422973633,0.9953610897064209,0.9968818426132202,0.9977782964706421,0.9969298243522644,0.997389554977417,0.9473224878311157,1,NA,NA,NA,NA,NA,NA,NA,NA,0.8282578587532043,0.8361807465553284,0.8256856799125671,0.8656347393989563,0.8310068249702454,0.7429967522621155,0.850084662437439,0.742299497127533,0.8854453563690186,0.7856969833374023,0.45714429020881653,0.6742133498191833,0.9785465598106384,0.9846533536911011,0.9722787737846375,0.9876798987388611,0.9852452874183655,0.9577124118804932,0.98487788438797,0.9786401987075806,0.9784842729568481,0.9823895692825317,0.8184518814086914,0.9338629245758057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81411,0.9972412224298314,0.8379760063389649,0.9776690653311083,NA
Central African Republic,NA,NA,0.13745945692062378,0.286453515291214,0.09717617183923721,0.15041185915470123,0.18082500994205475,0.1119275912642479,0.15551386773586273,0.09202413260936737,0.16762247681617737,0.07483603060245514,0.09925397485494614,0.1050073653459549,0.08576998114585876,0.41589054465293884,0.6538695693016052,8.027511066757143e-4,0.052081335335969925,0.4131382703781128,0.38039129972457886,0.2448238879442215,0.044648177921772,0.08050651848316193,0.03972363844513893,0.05179581791162491,0.049949515610933304,0.03055867925286293,0.04919923469424248,0.007999379187822342,0.06897810846567154,0.018603207543492317,0.03595743700861931,0.03965061902999878,0.09257207065820694,0.1862805187702179,0.061519548296928406,0.11087041348218918,0.1260005682706833,0.056502196937799454,0.10406039655208588,0.05831318348646164,0.11531541496515274,0.05078798159956932,0.06938497722148895,0.06902693957090378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41364,0.2262319940445029,0.08156851645529892,0.1518035725932779,NA
Chad,NA,NA,0.08753497153520584,0.2687201201915741,0.05132542923092842,0.13515117764472961,0.1256452053785324,0.024769753217697144,0.1105891764163971,0.049759391695261,0.11271792650222778,0.07248136401176453,0.06159870699048042,0.04663192480802536,0.05820799618959427,0.2398456335067749,0.5649374723434448,0.008020278066396713,0.07333727926015854,0.24335752427577972,0.29699477553367615,0.14103038609027863,0.03857553005218506,0.10173263400793076,0.022429263219237328,0.05513932555913925,0.05556933954358101,0.01674198918044567,0.04504518583416939,0.03658437356352806,0.03990292549133301,0.035900115966796875,0.029592404142022133,0.027110252529382706,0.190424382686615,0.4152228832244873,0.13598881661891937,0.21945127844810486,0.24771735072135925,0.15216262638568878,0.20023080706596375,0.11889510601758957,0.23810911178588867,0.17945054173469543,0.15883027017116547,0.17317073047161102,0.1523340940475464,0.27596718072891235,0.10905279219150543,0.1633017510175705,0.19788731634616852,0.13787712156772614,0.15208806097507477,0.09915740042924881,0.18778416514396667,0.15075688064098358,0.13529875874519348,0.15291574597358704,0.23059000000000002,0.1377643664118743,0.047502588256957703,0.22704081430470963,0.15759678439467115
China,NA,NA,0.802291214466095,0.9461381435394287,0.7636473178863525,0.8429239392280579,0.8396663665771484,0.6949029564857483,0.7926173210144043,0.6835026144981384,0.8842278122901917,0.7769765853881836,0.713846743106842,0.8701639175415039,0.31515267491340637,0.10350361466407776,0.6040521264076233,0.027238579466938972,0.02474326826632023,0.12641075253486633,0.1954185664653778,0.07783401757478714,0.22708524763584137,0.3636387586593628,0.19731728732585907,0.2695588171482086,0.25587591528892517,0.11483187228441238,0.23268817365169525,0.12313597649335861,0.2987861931324005,0.19737692177295685,0.1417374461889267,0.1884671151638031,0.67936110496521,0.8873406052589417,0.6408102512359619,0.7344733476638794,0.7166463136672974,0.5337049961090088,0.6595372557640076,0.5106970071792603,0.7957003712654114,0.6395649909973145,0.5512824654579163,0.8142639994621277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59152,0.8197724825309876,0.2476006265722612,0.7068427059822608,NA
Democratic Republic of the Congo,NA,NA,0.1499519646167755,0.16649039089679718,0.14391878247261047,0.1775352656841278,0.15582206845283508,0.09792090952396393,0.1700492948293686,0.07877020537853241,0.19716913998126984,0.07599133998155594,0.11860843747854233,0.12224969267845154,0.06830523163080215,0.2727252244949341,0.75428307056427,0.005408420227468014,0.08410532772541046,0.3976358473300934,0.351458340883255,0.264329195022583,0.03939361125230789,0.050561659038066864,0.028588440269231796,0.048103973269462585,0.049906738102436066,0.02296304702758789,0.03516903147101402,0.010844403877854347,0.05833122879266739,0.01696915552020073,0.01581774652004242,0.04778352752327919,0.21716327965259552,0.2575884759426117,0.18990689516067505,0.26314112544059753,0.24368298053741455,0.13043414056301117,0.229924276471138,0.15608420968055725,0.2576790153980255,0.1717679351568222,0.13361619412899017,0.20398442447185516,0.16096340119838715,0.1968015432357788,0.13520658016204834,0.19154083728790283,0.18602406978607178,0.10328445583581924,0.1682998687028885,0.11660876125097275,0.19038528203964233,0.13719268143177032,0.08292435109615326,0.15442445874214172,0.4446,0.2423445217971645,0.06740652783713091,0.2738717239462359,0.19065808801435424
Republic of the Congo,NA,NA,0.23257967829704285,0.3038739860057831,0.19148927927017212,0.25045859813690186,0.27385711669921875,0.20623740553855896,0.23899966478347778,0.16605979204177856,0.2766803503036499,0.1272161453962326,0.13727006316184998,0.2247394472360611,0.12416967749595642,0.3023573160171509,0.6889175176620483,0.013383216224610806,0.06602557748556137,0.27147921919822693,0.24762438237667084,0.1363595873117447,0.05199667438864708,0.07842746376991272,0.054380401968955994,0.057460967451334,0.049602095037698746,0.04394574463367462,0.054208461195230484,0.05484377220273018,0.0501091331243515,0.028111863881349564,0.02253521978855133,0.04503259435296059,0.1781453639268875,0.22893686592578888,0.13521626591682434,0.21832892298698425,0.2212698608636856,0.1189400851726532,0.18754960596561432,0.13109762966632843,0.20933659374713898,0.12633000314235687,0.12073215842247009,0.16215111315250397,0.06238438934087753,0.06567496806383133,0.03449587523937225,0.08767537027597427,0.0903998538851738,0.025121400132775307,0.06136469915509224,0.05999251827597618,0.06397013366222382,0.07843109965324402,0.06393088400363922,0.06780833750963211,0.66916,0.2846725577651881,0.06380558512484516,0.20376344325313853,0.05445072080159945
